locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCDAKLAD_00018	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
BCDAKLAD_00019	gene	96				
BCDAKLAD_00019	CDS	96				hypothetical protein
BCDAKLAD_00020	gene	90				
BCDAKLAD_00020	CDS	90				hypothetical protein
BCDAKLAD_00021	gene	447				
BCDAKLAD_00021	CDS	447				hypothetical protein
BCDAKLAD_00022	gene	834				
BCDAKLAD_00022	CDS	834				hypothetical protein
BCDAKLAD_00023	gene	1185	emrD			
BCDAKLAD_00023	CDS	1185	emrD			Multidrug resistance protein D
BCDAKLAD_00024	gene	924	dsdC_1			
BCDAKLAD_00024	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
BCDAKLAD_00025	gene	1338	dsdX			
BCDAKLAD_00025	CDS	1338	dsdX			D-serine transporter DsdX
BCDAKLAD_00026	gene	1329	dsdA			
BCDAKLAD_00026	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
BCDAKLAD_00027	gene	501				
BCDAKLAD_00027	CDS	501				hypothetical protein
BCDAKLAD_00028	gene	363	yidG			
BCDAKLAD_00028	CDS	363	yidG			Inner membrane protein YidG
BCDAKLAD_00029	gene	348	yidH			
BCDAKLAD_00029	CDS	348	yidH		COG2149	Inner membrane protein YidH
BCDAKLAD_00030	gene	1323	aglB			
BCDAKLAD_00030	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
BCDAKLAD_00031	gene	1623	malP_1			
BCDAKLAD_00031	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
BCDAKLAD_00032	gene	747	mngR_1			
BCDAKLAD_00032	CDS	747	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
BCDAKLAD_00033	gene	1662	aspT_1			
BCDAKLAD_00033	CDS	1662	aspT_1			Aspartate/alanine antiporter
BCDAKLAD_00034	gene	825				
BCDAKLAD_00034	CDS	825				hypothetical protein
BCDAKLAD_00035	gene	429	ibpB_1			
BCDAKLAD_00035	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
BCDAKLAD_00036	gene	414	ibpA			
BCDAKLAD_00036	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
BCDAKLAD_00037	gene	333				
BCDAKLAD_00037	CDS	333				hypothetical protein
BCDAKLAD_00038	gene	1227				
BCDAKLAD_00038	CDS	1227				hypothetical protein
BCDAKLAD_00039	gene	1293	dgoT_1			
BCDAKLAD_00039	CDS	1293	dgoT_1			D-galactonate transporter
BCDAKLAD_00040	gene	1149	dgoD			
BCDAKLAD_00040	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
BCDAKLAD_00041	gene	618	dgoA_1			
BCDAKLAD_00041	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
BCDAKLAD_00042	gene	879	dgoK1_1			
BCDAKLAD_00042	CDS	879	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
BCDAKLAD_00043	gene	690	lutR			
BCDAKLAD_00043	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
BCDAKLAD_00044	gene	1134				
BCDAKLAD_00044	CDS	1134				hypothetical protein
BCDAKLAD_00045	gene	1062				
BCDAKLAD_00045	CDS	1062				hypothetical protein
BCDAKLAD_00046	gene	813	yidA			
BCDAKLAD_00046	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
BCDAKLAD_00047	gene	2415	gyrB			
BCDAKLAD_00047	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
BCDAKLAD_00048	gene	1074	recF			
BCDAKLAD_00048	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
BCDAKLAD_00049	gene	1101	dnaN			
BCDAKLAD_00049	CDS	1101	dnaN		COG0592	Beta sliding clamp
BCDAKLAD_00050	gene	1404	dnaA			
BCDAKLAD_00050	CDS	1404	dnaA		COG0593	Chromosomal replication initiator protein DnaA
BCDAKLAD_00051	gene	327	rnpA			
BCDAKLAD_00051	CDS	327	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
BCDAKLAD_00052	gene	1647	yidC			
BCDAKLAD_00052	CDS	1647	yidC			Membrane protein insertase YidC
BCDAKLAD_00053	gene	1365	mnmE			
BCDAKLAD_00053	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
BCDAKLAD_00054	gene	420				
BCDAKLAD_00054	CDS	420				hypothetical protein
BCDAKLAD_00055	gene	1179	mdtL			
BCDAKLAD_00055	CDS	1179	mdtL			Multidrug resistance protein MdtL
BCDAKLAD_00056	gene	960	yidZ			
BCDAKLAD_00056	CDS	960	yidZ			HTH-type transcriptional regulator YidZ
BCDAKLAD_00057	gene	729				
BCDAKLAD_00057	CDS	729				hypothetical protein
BCDAKLAD_00058	gene	567	chrR			
BCDAKLAD_00058	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
BCDAKLAD_00059	gene	1338	adeP			
BCDAKLAD_00059	CDS	1338	adeP		COG2252	Adenine permease AdeP
BCDAKLAD_00060	gene	666	yieH			
BCDAKLAD_00060	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
BCDAKLAD_00061	gene	717	gamA			
BCDAKLAD_00061	CDS	717	gamA	3.5.99.6	COG0363	putative glucosamine-6-phosphate deaminase 2
BCDAKLAD_00062	gene	1167	axe1-6A			
BCDAKLAD_00062	CDS	1167	axe1-6A		COG2382	Carbohydrate acetyl esterase/feruloyl esterase
BCDAKLAD_00063	gene	1635	bglH_1			
BCDAKLAD_00063	CDS	1635	bglH_1		COG4580	Cryptic outer membrane porin BglH
BCDAKLAD_00064	gene	726	phoU			
BCDAKLAD_00064	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
BCDAKLAD_00065	gene	774	pstB			
BCDAKLAD_00065	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
BCDAKLAD_00066	gene	891	pstA			
BCDAKLAD_00066	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
BCDAKLAD_00067	gene	960	pstC			
BCDAKLAD_00067	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
BCDAKLAD_00068	gene	1041	pstS			
BCDAKLAD_00068	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
BCDAKLAD_00069	gene	1830	glmS_1			
BCDAKLAD_00069	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
BCDAKLAD_00070	gene	1371	glmU			
BCDAKLAD_00070	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
BCDAKLAD_00071	gene	420	atpC			
BCDAKLAD_00071	CDS	420	atpC		COG0355	ATP synthase epsilon chain
BCDAKLAD_00072	gene	1383	atpD			
BCDAKLAD_00072	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
BCDAKLAD_00073	gene	864	atpG			
BCDAKLAD_00073	CDS	864	atpG		COG0224	ATP synthase gamma chain
BCDAKLAD_00074	gene	1542	atpA			
BCDAKLAD_00074	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
BCDAKLAD_00075	gene	534	atpH			
BCDAKLAD_00075	CDS	534	atpH		COG0712	ATP synthase subunit delta
BCDAKLAD_00076	gene	471	atpF			
BCDAKLAD_00076	CDS	471	atpF		COG0711	ATP synthase subunit b
BCDAKLAD_00077	gene	240	atpE			
BCDAKLAD_00077	CDS	240	atpE		COG0636	ATP synthase subunit c
BCDAKLAD_00078	gene	816	atpB			
BCDAKLAD_00078	CDS	816	atpB		COG0356	ATP synthase subunit a
BCDAKLAD_00079	gene	381	atpI			
BCDAKLAD_00079	CDS	381	atpI		COG3312	ATP synthase protein I
BCDAKLAD_00080	gene	624	rsmG			
BCDAKLAD_00080	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
BCDAKLAD_00081	gene	1890	mnmG			
BCDAKLAD_00081	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
BCDAKLAD_00082	gene	441	mioC			
BCDAKLAD_00082	CDS	441	mioC		COG0716	Protein MioC
BCDAKLAD_00083	gene	459	asnC			
BCDAKLAD_00083	CDS	459	asnC		COG1522	Regulatory protein AsnC
BCDAKLAD_00084	gene	993	asnA			
BCDAKLAD_00084	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
BCDAKLAD_00085	gene	1449	viaA			
BCDAKLAD_00085	CDS	1449	viaA		COG2425	Protein ViaA
BCDAKLAD_00086	gene	1500	ravA			
BCDAKLAD_00086	CDS	1500	ravA	3.6.3.-	COG0714	ATPase RavA
BCDAKLAD_00087	gene	1869	kup			
BCDAKLAD_00087	CDS	1869	kup			Low affinity potassium transport system protein kup
BCDAKLAD_00088	gene	420	rbsD			
BCDAKLAD_00088	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
BCDAKLAD_00089	gene	1506	rbsA_1			
BCDAKLAD_00089	CDS	1506	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
BCDAKLAD_00090	gene	966	rbsC_1			
BCDAKLAD_00090	CDS	966	rbsC_1		COG1172	Ribose import permease protein RbsC
BCDAKLAD_00091	gene	891	rbsB_1			
BCDAKLAD_00091	CDS	891	rbsB_1		COG1879	Ribose import binding protein RbsB
BCDAKLAD_00092	gene	933	rbsK			
BCDAKLAD_00092	CDS	933	rbsK	2.7.1.15	COG0524	Ribokinase
BCDAKLAD_00093	gene	984	rbsR_1			
BCDAKLAD_00093	CDS	984	rbsR_1		COG1609	Ribose operon repressor
BCDAKLAD_00094	gene	1398	hsrA_1			
BCDAKLAD_00094	CDS	1398	hsrA_1			putative transport protein HsrA
BCDAKLAD_00095	gene	702	nanR			
BCDAKLAD_00095	CDS	702	nanR			HTH-type transcriptional repressor NanR
BCDAKLAD_00096	gene	579	lamB_2			
BCDAKLAD_00096	CDS	579	lamB_2			Maltoporin
BCDAKLAD_00097	gene	960				
BCDAKLAD_00097	CDS	960				hypothetical protein
BCDAKLAD_00098	gene	552				
BCDAKLAD_00098	CDS	552				hypothetical protein
BCDAKLAD_00099	gene	525				
BCDAKLAD_00099	CDS	525				hypothetical protein
BCDAKLAD_00100	gene	486				
BCDAKLAD_00100	CDS	486				hypothetical protein
BCDAKLAD_00101	gene	1221	ufaA1			
BCDAKLAD_00101	CDS	1221	ufaA1	2.1.1.-	COG2230	Tuberculostearic acid methyltransferase UfaA1
BCDAKLAD_00102	gene	723				
BCDAKLAD_00102	CDS	723				hypothetical protein
BCDAKLAD_00103	gene	1260				
BCDAKLAD_00103	CDS	1260				hypothetical protein
BCDAKLAD_00104	gene	720				
BCDAKLAD_00104	CDS	720				hypothetical protein
BCDAKLAD_00105	gene	435				
BCDAKLAD_00105	CDS	435				hypothetical protein
BCDAKLAD_00106	gene	729	mlrA			
BCDAKLAD_00106	CDS	729	mlrA		COG0789	HTH-type transcriptional regulator MlrA
BCDAKLAD_00107	gene	534	blc_1			
BCDAKLAD_00107	CDS	534	blc_1		COG3040	Outer membrane lipoprotein Blc
BCDAKLAD_00108	gene	348				
BCDAKLAD_00108	CDS	348				hypothetical protein
BCDAKLAD_00109	gene	3150	cusA_1			
BCDAKLAD_00109	CDS	3150	cusA_1		COG3696	Cation efflux system protein CusA
BCDAKLAD_00110	gene	1263	cusB_1			
BCDAKLAD_00110	CDS	1263	cusB_1			Cation efflux system protein CusB
BCDAKLAD_00111	gene	345	cusF_1			
BCDAKLAD_00111	CDS	345	cusF_1		COG5569	Cation efflux system protein CusF
BCDAKLAD_00112	gene	1386	cusC_1			
BCDAKLAD_00112	CDS	1386	cusC_1		COG1538	Cation efflux system protein CusC
BCDAKLAD_00113	gene	684	cusR_1			
BCDAKLAD_00113	CDS	684	cusR_1		COG0745	Transcriptional regulatory protein CusR
BCDAKLAD_00114	gene	1434	cusS_1			
BCDAKLAD_00114	CDS	1434	cusS_1	2.7.13.3	COG0642	Sensor histidine kinase CusS
BCDAKLAD_00115	gene	267				
BCDAKLAD_00115	CDS	267				hypothetical protein
BCDAKLAD_00116	gene	534				
BCDAKLAD_00116	CDS	534				hypothetical protein
BCDAKLAD_00117	gene	1122	roxA_1			
BCDAKLAD_00117	CDS	1122	roxA_1	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
BCDAKLAD_00118	gene	318				
BCDAKLAD_00118	CDS	318				hypothetical protein
BCDAKLAD_00119	gene	1125	yhhJ			
BCDAKLAD_00119	CDS	1125	yhhJ		COG0842	Inner membrane transport permease YhhJ
BCDAKLAD_00120	gene	2745	rbbA			
BCDAKLAD_00120	CDS	2745	rbbA		COG0842	Ribosome-associated ATPase
BCDAKLAD_00121	gene	1068				
BCDAKLAD_00121	CDS	1068				hypothetical protein
BCDAKLAD_00122	gene	1008	trpS2			
BCDAKLAD_00122	CDS	1008	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
BCDAKLAD_00123	gene	984	lsrB_1			
BCDAKLAD_00123	CDS	984	lsrB_1			Autoinducer 2-binding protein LsrB
BCDAKLAD_00124	gene	1485	rbsA_2			
BCDAKLAD_00124	CDS	1485	rbsA_2	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
BCDAKLAD_00125	gene	972	rbsC_2			
BCDAKLAD_00125	CDS	972	rbsC_2		COG1172	Ribose import permease protein RbsC
BCDAKLAD_00126	gene	957	lsrD_1			
BCDAKLAD_00126	CDS	957	lsrD_1			Autoinducer 2 import system permease protein LsrD
BCDAKLAD_00127	gene	783	kefG			
BCDAKLAD_00127	CDS	783	kefG	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefG
BCDAKLAD_00128	gene	909	syrM1			
BCDAKLAD_00128	CDS	909	syrM1			HTH-type transcriptional regulator SyrM 1
BCDAKLAD_00129	gene	420	fosA			
BCDAKLAD_00129	CDS	420	fosA	2.5.1.18		Glutathione transferase FosA
BCDAKLAD_00130	gene	1851	rep_1			
BCDAKLAD_00130	CDS	1851	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
BCDAKLAD_00131	gene	1413	norG_1			
BCDAKLAD_00131	CDS	1413	norG_1		COG1167	HTH-type transcriptional regulator NorG
BCDAKLAD_00132	gene	165				
BCDAKLAD_00132	CDS	165				hypothetical protein
BCDAKLAD_00133	gene	465	slyA_1			
BCDAKLAD_00133	CDS	465	slyA_1			Transcriptional regulator SlyA
BCDAKLAD_00134	gene	1068	yibH_1			
BCDAKLAD_00134	CDS	1068	yibH_1		COG1566	Inner membrane protein YibH
BCDAKLAD_00135	gene	1065				
BCDAKLAD_00135	CDS	1065				hypothetical protein
BCDAKLAD_00136	gene	255				
BCDAKLAD_00136	CDS	255				hypothetical protein
BCDAKLAD_00137	gene	768	hadI			
BCDAKLAD_00137	CDS	768	hadI	3.-.-.-	COG1924	2-hydroxyisocaproyl-CoA dehydratase activator
BCDAKLAD_00138	gene	1152	fldC			
BCDAKLAD_00138	CDS	1152	fldC	4.2.1.-		(R)-phenyllactyl-CoA dehydratase beta subunit
BCDAKLAD_00139	gene	240				
BCDAKLAD_00139	CDS	240				hypothetical protein
BCDAKLAD_00140	gene	1242	mdtM_1			
BCDAKLAD_00140	CDS	1242	mdtM_1			Multidrug resistance protein MdtM
BCDAKLAD_00141	gene	1293				
BCDAKLAD_00141	CDS	1293				hypothetical protein
BCDAKLAD_00142	gene	663	rhtC_1			
BCDAKLAD_00142	CDS	663	rhtC_1		COG1280	Threonine efflux protein
BCDAKLAD_00143	gene	744	rhaS_1			
BCDAKLAD_00143	CDS	744	rhaS_1			HTH-type transcriptional activator RhaS
BCDAKLAD_00144	gene	927				
BCDAKLAD_00144	CDS	927				ISNCY family transposase ISRor2
BCDAKLAD_00145	gene	1371	sad_1			
BCDAKLAD_00145	CDS	1371	sad_1	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
BCDAKLAD_00146	gene	546				
BCDAKLAD_00146	CDS	546				hypothetical protein
BCDAKLAD_00147	gene	957	yjiA			
BCDAKLAD_00147	CDS	957	yjiA	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
BCDAKLAD_00148	gene	204				
BCDAKLAD_00148	CDS	204				hypothetical protein
BCDAKLAD_00149	gene	2151	btsT			
BCDAKLAD_00149	CDS	2151	btsT		COG1966	Pyruvate/proton symporter BtsT
BCDAKLAD_00150	gene	624				
BCDAKLAD_00150	CDS	624				hypothetical protein
BCDAKLAD_00151	gene	822				
BCDAKLAD_00151	CDS	822				hypothetical protein
BCDAKLAD_00152	gene	513	hpaC			
BCDAKLAD_00152	CDS	513	hpaC	1.5.1.36	COG1853	4-hydroxyphenylacetate 3-monooxygenase reductase component
BCDAKLAD_00153	gene	1563	hpaB			
BCDAKLAD_00153	CDS	1563	hpaB	1.14.14.9	COG2368	4-hydroxyphenylacetate 3-monooxygenase oxygenase component
BCDAKLAD_00154	gene	891	rhaR_1			
BCDAKLAD_00154	CDS	891	rhaR_1			HTH-type transcriptional activator RhaR
BCDAKLAD_00155	gene	1359	ttuB_1			
BCDAKLAD_00155	CDS	1359	ttuB_1			Putative tartrate transporter
BCDAKLAD_00156	gene	798	hpcH			
BCDAKLAD_00156	CDS	798	hpcH	4.1.2.52	COG3836	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase
BCDAKLAD_00157	gene	804	hpcG			
BCDAKLAD_00157	CDS	804	hpcG	4.2.1.163		2-oxo-hept-4-ene-1,7-dioate hydratase
BCDAKLAD_00158	gene	381	hpcD			
BCDAKLAD_00158	CDS	381	hpcD	5.3.3.10		5-carboxymethyl-2-hydroxymuconate Delta-isomerase
BCDAKLAD_00159	gene	858	hpcB			
BCDAKLAD_00159	CDS	858	hpcB	1.13.11.15	COG3384	3,4-dihydroxyphenylacetate 2,3-dioxygenase
BCDAKLAD_00160	gene	1467	betB_1			
BCDAKLAD_00160	CDS	1467	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
BCDAKLAD_00161	gene	765	hpcE_1			
BCDAKLAD_00161	CDS	765	hpcE_1		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
BCDAKLAD_00162	gene	633	hpcE_2			
BCDAKLAD_00162	CDS	633	hpcE_2		COG0179	Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase
BCDAKLAD_00163	gene	441	farR			
BCDAKLAD_00163	CDS	441	farR			HTH-type transcriptional regulator FarR
BCDAKLAD_00164	gene	330				
BCDAKLAD_00164	CDS	330				hypothetical protein
BCDAKLAD_00165	gene	1017	lhpD			
BCDAKLAD_00165	CDS	1017	lhpD	1.5.1.21	COG2055	Delta(1)-pyrroline-2-carboxylate/Delta(1)-piperideine-2-carboxylate reductase
BCDAKLAD_00166	gene	1221				
BCDAKLAD_00166	CDS	1221		4.1.2.42		D-threonine aldolase
BCDAKLAD_00167	gene	1440	dan			
BCDAKLAD_00167	CDS	1440	dan	3.5.1.81		D-aminoacylase
BCDAKLAD_00168	gene	393	tdcF			
BCDAKLAD_00168	CDS	393	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
BCDAKLAD_00169	gene	1488	opuE			
BCDAKLAD_00169	CDS	1488	opuE		COG0591	Osmoregulated proline transporter OpuE
BCDAKLAD_00170	gene	873	dgoK1_2			
BCDAKLAD_00170	CDS	873	dgoK1_2	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
BCDAKLAD_00171	gene	600	dgoA_2			
BCDAKLAD_00171	CDS	600	dgoA_2	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
BCDAKLAD_00172	gene	864	hexR_1			
BCDAKLAD_00172	CDS	864	hexR_1		COG1737	HTH-type transcriptional regulator HexR
BCDAKLAD_00173	gene	534				
BCDAKLAD_00173	CDS	534				hypothetical protein
BCDAKLAD_00174	gene	837	mshD			
BCDAKLAD_00174	CDS	837	mshD	2.3.1.189		Mycothiol acetyltransferase
BCDAKLAD_00175	gene	1362	lgoT_1			
BCDAKLAD_00175	CDS	1362	lgoT_1			putative L-galactonate transporter
BCDAKLAD_00176	gene	420	lgoR_1			
BCDAKLAD_00176	CDS	420	lgoR_1		COG1802	putative HTH-type transcriptional regulator LgoR
BCDAKLAD_00177	gene	468	lgoR_2			
BCDAKLAD_00177	CDS	468	lgoR_2		COG1802	putative HTH-type transcriptional regulator LgoR
BCDAKLAD_00178	gene	1023	lgoD			
BCDAKLAD_00178	CDS	1023	lgoD	1.1.1.414	COG1063	L-galactonate-5-dehydrogenase
BCDAKLAD_00179	gene	1446	uxaB_1			
BCDAKLAD_00179	CDS	1446	uxaB_1	1.1.1.58	COG0246	Altronate oxidoreductase
BCDAKLAD_00180	gene	2766	norR_1			
BCDAKLAD_00180	CDS	2766	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
BCDAKLAD_00181	gene	423				
BCDAKLAD_00181	CDS	423				hypothetical protein
BCDAKLAD_00182	gene	471	sorB			
BCDAKLAD_00182	CDS	471	sorB	2.7.1.206	COG3444	PTS system sorbose-specific EIIB component
BCDAKLAD_00183	gene	780	agaC			
BCDAKLAD_00183	CDS	780	agaC		COG3715	N-acetylgalactosamine permease IIC component 1
BCDAKLAD_00184	gene	852	manZ_1			
BCDAKLAD_00184	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
BCDAKLAD_00185	gene	1062	glmS_2			
BCDAKLAD_00185	CDS	1062	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
BCDAKLAD_00186	gene	1011	frlB			
BCDAKLAD_00186	CDS	1011	frlB	3.5.-.-	COG2222	Fructosamine deglycase FrlB
BCDAKLAD_00187	gene	939				
BCDAKLAD_00187	CDS	939				ISNCY family transposase ISRor2
BCDAKLAD_00188	gene	2292	mdoB			
BCDAKLAD_00188	CDS	2292	mdoB	2.7.8.20		Phosphoglycerol transferase I
BCDAKLAD_00189	gene	492				
BCDAKLAD_00189	CDS	492				hypothetical protein
BCDAKLAD_00190	gene	744	dnaC			
BCDAKLAD_00190	CDS	744	dnaC		COG1484	DNA replication protein DnaC
BCDAKLAD_00191	gene	540	dnaT			
BCDAKLAD_00191	CDS	540	dnaT			Primosomal protein 1
BCDAKLAD_00192	gene	474				
BCDAKLAD_00192	CDS	474				hypothetical protein
BCDAKLAD_00193	gene	777	yjjP			
BCDAKLAD_00193	CDS	777	yjjP		COG2966	Inner membrane protein YjjP
BCDAKLAD_00194	gene	1185	pobA			
BCDAKLAD_00194	CDS	1185	pobA	1.14.13.2	COG0654	p-hydroxybenzoate hydroxylase
BCDAKLAD_00195	gene	882	rhaR_2			
BCDAKLAD_00195	CDS	882	rhaR_2			HTH-type transcriptional activator RhaR
BCDAKLAD_00196	gene	723	yjjQ			
BCDAKLAD_00196	CDS	723	yjjQ			Putative transcription factor YjjQ
BCDAKLAD_00197	gene	675	bglJ			
BCDAKLAD_00197	CDS	675	bglJ		COG2197	Transcriptional activator protein BglJ
BCDAKLAD_00198	gene	459				
BCDAKLAD_00198	CDS	459				hypothetical protein
BCDAKLAD_00199	gene	1344	licC_1			
BCDAKLAD_00199	CDS	1344	licC_1		COG1455	Lichenan permease IIC component
BCDAKLAD_00200	gene	789	fhuF			
BCDAKLAD_00200	CDS	789	fhuF		COG4114	Ferric iron reductase protein FhuF
BCDAKLAD_00201	gene	1047				
BCDAKLAD_00201	CDS	1047				hypothetical protein
BCDAKLAD_00202	gene	354				
BCDAKLAD_00202	CDS	354				hypothetical protein
BCDAKLAD_00203	gene	87				
BCDAKLAD_00203	tRNA	87				tRNA-Leu(cag)
BCDAKLAD_00204	gene	87				
BCDAKLAD_00204	tRNA	87				tRNA-Leu(cag)
BCDAKLAD_00205	gene	87				
BCDAKLAD_00205	tRNA	87				tRNA-Leu(cag)
BCDAKLAD_00206	gene	1029	rsmC			
BCDAKLAD_00206	CDS	1029	rsmC	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
BCDAKLAD_00207	gene	414	holD			
BCDAKLAD_00207	CDS	414	holD	2.7.7.7	COG3050	DNA polymerase III subunit psi
BCDAKLAD_00208	gene	447	rimI			
BCDAKLAD_00208	CDS	447	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
BCDAKLAD_00209	gene	678	yjjG			
BCDAKLAD_00209	CDS	678	yjjG	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
BCDAKLAD_00210	gene	1590	prfC			
BCDAKLAD_00210	CDS	1590	prfC		COG4108	Peptide chain release factor RF3
BCDAKLAD_00211	gene	621	osmY			
BCDAKLAD_00211	CDS	621	osmY		COG2823	Osmotically-inducible protein Y
BCDAKLAD_00212	gene	162				
BCDAKLAD_00212	CDS	162				hypothetical protein
BCDAKLAD_00213	gene	1074				
BCDAKLAD_00213	CDS	1074				hypothetical protein
BCDAKLAD_00214	gene	795	yjjV			
BCDAKLAD_00214	CDS	795	yjjV	3.1.-.-	COG0084	putative metal-dependent hydrolase YjjV
BCDAKLAD_00215	gene	1278	nupX			
